番号,店名・会社・個人自宅,住所,Geo3x3
1,しゅうさん,越前市岩本町12-11-2,E913849981975942
2,いがらし理容,越前市岩本町１９−５,E913849981981499
3,つがわクリニック,越前市岩本町2-104,E913849984135156
4,おかもと郵便局,越前市岩本町10-15,E913849984267286
5,わおん,越前市岩本町17-10-4,E913849984328325
6,café ゆいまーる,越前市岩本町6-2-3,E913849984246891
7,Hairsalon leleCa,越前市岩本町6-33,E913849984163849
8,やなせ良三製紙所,越前市大滝町10−1,E913849981888422
9,いしかわ製紙,越前市大滝町11-13,E913849981991579
10,おばた製紙所,越前市大滝町23-22,E913849982752849
11,やなせ和紙,越前市大滝町24-21,E913849982713776
12,おさだ製紙所,越前市大滝町29-39,E913849981933628
13,やまき製紙所,越前市大滝町31-20,E913849982445186
14,くまの餅店,越前市大滝町28-12,E913849982717498
15,かわさき博宅,越前市大滝町25-16,E913849981966656
16,やまざき紙商店,越前市定友町10-25,E913849984849293
17,たばた商店,越前市定友町12−13−2,E913849984897645
18,うらら今立SS(カワイ),越前市定友町12-2-1,E913849987224521
20,いまだて電工,越前市定友町19-20-1,E913849987392418
21,ビューティーハウスオオサカ,越前市定友町22-1,E913849984884825
22,にしの商店,越前市定友町9−4,E913849984864156
23,オーマート,越前市新在家町10-9-2,E913849984521291
24,かずや電業, 越前市新在家町3-11-1,E913849984582417
25,しみず徳兵衛商店,越前市新在家町14−11,E913849984298925
26,えちぜん和紙の里パピルス館,越前市新在家町8-44,E913849984429264
27,かみの文化博物館,越前市新在家町11-12,E913849984285994
28,うおせい,越前市杉尾町12-10,E913849985994951
29,たかはし眼鏡,越前市轟井町20-40,E913849986569414
30,やそはち,越前市不老町16-15,E913849981794383
31,アルツ運輸,越前市不老町8-10,E913849973598496
32,おさだ安弘宅,越前市不老町3-44-2,E913849973947155
33,やまいち製紙所,越前市不老町15-17,E913849981767525
34,やまだ兄弟製紙,越前市不老町15-4,E913849981753635
35,つだ組, 越前市不老町17-11,E913849981769234
36,すぎはら商店,越前市不老町17-2,E913849981874826
37,つだ鋼業,越前市不老町29-7,E913849973586731
38,やまぐち漉込加工所,越前市不老町6−47,E913849981747378
